"","Meter_location","Error_likelihood","Meter_age","Likelihood_OT_payment","Est_lost_revenue"
"1",100318,"Likely","TBD","TBD",127.698186536737
"2",100493,"Unlikely","TBD","TBD",142.698186536737
"3",100560,"Unlikely","TBD","TBD",141.864853203403
"4",101401,"Likely","TBD","TBD",89.3648532034034
"5",101791,"Somewhat likely","TBD","TBD",119.364853203403
"6",101846,"Somewhat likely","TBD","TBD",136.864853203403
"7",101982,"Unclear","TBD","TBD",136.864853203403
"8",102502,"Unlikely","TBD","TBD",129.364853203403
"9",102636,"Unclear","TBD","TBD",141.864853203403
"10",102769,"Somewhat likely","TBD","TBD",117.698186536737
"11",102778,"Somewhat likely","TBD","TBD",81.0315198700701
"12",102881,"Unclear","TBD","TBD",139.364853203403
"13",103411,"Somewhat likely","TBD","TBD",134.364853203403
"14",103460,"Somewhat likely","TBD","TBD",86.8648532034035
"15",103601,"Unlikely","TBD","TBD",140.198186536737
"16",103731,"Unlikely","TBD","TBD",142.698186536737
"17",104927,"Somewhat likely","TBD","TBD",72.6981865367368
"18",105430,"Unlikely","TBD","TBD",124.364853203403
"19",105519,"Unclear","TBD","TBD",136.864853203403
"20",105553,"Likely","TBD","TBD",133.53151987007
"21",105749,"Somewhat likely","TBD","TBD",126.864853203403
"22",105807,"Likely","TBD","TBD",122.698186536737
"23",105819,"Likely","TBD","TBD",131.03151987007
"24",106393,"Somewhat likely","TBD","TBD",137.698186536737
"25",106457,"Likely","TBD","TBD",123.53151987007
"26",106536,"Very likely","TBD","TBD",126.864853203403
"27",106576,"Unlikely","TBD","TBD",142.698186536737
"28",106730,"Unlikely","TBD","TBD",142.698186536737
"29",106939,"Likely","TBD","TBD",139.364853203403
"30",107804,"Unlikely","TBD","TBD",141.864853203403
"31",108017,"Somewhat likely","TBD","TBD",137.698186536737
"32",108094,"Unlikely","TBD","TBD",133.53151987007
"33",108498,"Likely","TBD","TBD",70.1981865367368
"34",108839,"Unclear","TBD","TBD",126.864853203403
"35",108911,"Unclear","TBD","TBD",133.53151987007
"36",108972,"Somewhat likely","TBD","TBD",122.698186536737
"37",109410,"Unclear","TBD","TBD",134.364853203403
"38",110196,"Likely","TBD","TBD",121.03151987007
"39",110336,"Unlikely","TBD","TBD",142.698186536737
"40",110643,"Unclear","TBD","TBD",131.864853203403
"41",110840,"Unlikely","TBD","TBD",141.864853203403
"42",110871,"Unclear","TBD","TBD",138.53151987007
"43",110878,"Unlikely","TBD","TBD",141.864853203403
"44",110882,"Unclear","TBD","TBD",135.198186536737
"45",110913,"Unclear","TBD","TBD",133.53151987007
"46",110928,"Very likely","TBD","TBD",127.698186536737
"47",110951,"Somewhat likely","TBD","TBD",109.364853203403
"48",111017,"Unlikely","TBD","TBD",136.03151987007
